Anbieter;Anbietertyp;Hersteller;Modell;Speicher GB;Farbe;Zustand;Preis EUR;Preisart;Tarifreferenz;Verfuegbarkeit;Quelle;Abgerufen am;Listungs-ID;SKU-ID
Vodafone;netzbetreiber;Apple;iPhone 17;512;weiss;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-512gb-weiss;apple-iphone-17-512gb-weiss
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;256;Cosmic Orange;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-256gb-cosmic-orange;apple-iphone-17-pro-256gb-cosmic-orange
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;256;silber;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-256gb-silber;apple-iphone-17-pro-256gb-silber
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;256;Tiefblau;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-256gb-tiefblau;apple-iphone-17-pro-256gb-tiefblau
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;512;Cosmic Orange;neu;1449,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-512gb-cosmic-orange;apple-iphone-17-pro-512gb-cosmic-orange
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;512;silber;neu;1449,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-512gb-silber;apple-iphone-17-pro-512gb-silber
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;512;Tiefblau;neu;1449,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-512gb-tiefblau;apple-iphone-17-pro-512gb-tiefblau
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;1024;Cosmic Orange;neu;1699,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-1024gb-cosmic-orange;apple-iphone-17-pro-1024gb-cosmic-orange
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;1024;silber;neu;1699,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-1024gb-silber;apple-iphone-17-pro-1024gb-silber
Vodafone;netzbetreiber;Apple;iPhone 17 Pro;1024;Tiefblau;neu;1699,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro.html;2026-08-29;vodafone--apple-iphone-17-pro-1024gb-tiefblau;apple-iphone-17-pro-1024gb-tiefblau
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;256;Cosmic Orange;neu;1349,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-256gb-cosmic-orange;apple-iphone-17-pro-max-256gb-cosmic-orange
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;256;silber;neu;1349,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-256gb-silber;apple-iphone-17-pro-max-256gb-silber
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;256;Tiefblau;neu;1349,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-256gb-tiefblau;apple-iphone-17-pro-max-256gb-tiefblau
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;512;Cosmic Orange;neu;1599,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-512gb-cosmic-orange;apple-iphone-17-pro-max-512gb-cosmic-orange
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;512;silber;neu;1599,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-512gb-silber;apple-iphone-17-pro-max-512gb-silber
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;512;Tiefblau;neu;1599,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-512gb-tiefblau;apple-iphone-17-pro-max-512gb-tiefblau
Vodafone;netzbetreiber;Apple;iPhone 17 Pro Max;1024;Cosmic Orange;neu;1849,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17-pro-max.html;2026-08-29;vodafone--apple-iphone-17-pro-max-1024gb-cosmic-orange;apple-iphone-17-pro-max-1024gb-cosmic-orange
Vodafone;netzbetreiber;Apple;iPhone 17e;256;Hellrosa;neu;699,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17e.html;2026-08-29;vodafone--apple-iphone-17e-256gb-hellrosa;apple-iphone-17e-256gb-hellrosa
Vodafone;netzbetreiber;Apple;iPhone 17e;256;schwarz;neu;699,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17e.html;2026-08-29;vodafone--apple-iphone-17e-256gb-schwarz;apple-iphone-17e-256gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 17e;256;weiss;neu;699,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17e.html;2026-08-29;vodafone--apple-iphone-17e-256gb-weiss;apple-iphone-17e-256gb-weiss
Vodafone;netzbetreiber;Apple;iPhone 17e;512;Hellrosa;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17e.html;2026-08-29;vodafone--apple-iphone-17e-512gb-hellrosa;apple-iphone-17e-512gb-hellrosa
Vodafone;netzbetreiber;Apple;iPhone 17e;512;schwarz;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17e.html;2026-08-29;vodafone--apple-iphone-17e-512gb-schwarz;apple-iphone-17e-512gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 17e;512;weiss;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17e.html;2026-08-29;vodafone--apple-iphone-17e-512gb-weiss;apple-iphone-17e-512gb-weiss
Vodafone;netzbetreiber;Apple;iPhone Air;256;Space Schwarz;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-256gb-space-schwarz;apple-iphone-air-256gb-space-schwarz
Vodafone;netzbetreiber;Apple;iPhone Air;256;Wolkenweiß;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-256gb-wolkenweiss;apple-iphone-air-256gb-wolkenweiss
Vodafone;netzbetreiber;Apple;iPhone Air;512;Himmelblau;neu;1069,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-512gb-himmelblau;apple-iphone-air-512gb-himmelblau
Vodafone;netzbetreiber;Apple;iPhone Air;512;Lichtgold;neu;1069,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-512gb-lichtgold;apple-iphone-air-512gb-lichtgold
Vodafone;netzbetreiber;Apple;iPhone Air;512;Space Schwarz;neu;1069,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-air.html;2026-08-29;vodafone--apple-iphone-air-512gb-space-schwarz;apple-iphone-air-512gb-space-schwarz
