Hersteller;Modell;Speicher GB;Ab-Preis EUR;Anbieter (ab-Preis);Anbieterzahl;Spanne von EUR;Spanne bis EUR;Nur im Bündel ab EUR/Monat;Bündel-Anbieter;Abgerufen am;Quelle
Samsung;Galaxy S25 Ultra;256;1081,00;o2;1;;;;;2026-09-23;https://www.o2online.de/e-shop/samsung/samsung-galaxy-s25-ultra-256gb-titanium-black-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Xiaomi;Redmi Note 17 Pro Max;256;595,00;congstar;3;;;;;2026-09-22;https://www.congstar.de/geraete/xiaomi/xiaomi-redmi-note-17-pro-max-5g/
Apple;iPhone 16 Pro;128;1261,00;o2;1;;;;;2026-09-23;https://www.o2online.de/e-shop/apple/apple-iphone-16-pro-128gb-titan-schwarz-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Google;Pixel 11 Pro XL;512;1529,00;congstar;2;;;;;2026-09-23;https://www.congstar.de/geraete/google/google-pixel-11-pro-xl/
Samsung;Galaxy S24 Ultra;256;1081,00;o2;1;;;;;2026-09-23;https://www.o2online.de/e-shop/samsung/samsung-galaxy-s24-ultra-256gb-titanium-black-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Xiaomi;Redmi Note 15;256;279,90;Vodafone;2;279,90;289,00;;;2026-09-23;https://www.vodafone.de/privat/handys/xiaomi-redmi-note-15-5g.html
Apple;iPhone 16 Pro Max;256;;;1;;;56,99;o2;2026-09-23;https://www.o2online.de/e-shop/apple/apple-iphone-16-pro-max-256gb-titan-weiss-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Google;Pixel 10 Pro;128;973,00;o2;3;973,00;1099,90;;;2026-09-23;https://www.o2online.de/e-shop/google/google-pixel-10-pro-128gb-obsidian-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Samsung;Galaxy S24 Ultra;512;;;1;;;34,99;o2;2026-09-04;https://www.o2online.de/e-shop/samsung/samsung-galaxy-s24-ultra-512gb-titanium-black-gebraucht-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Xiaomi;Redmi Note 15 Pro;256;179,00;mobilcom-debitel;3;179,00;361,00;;;2026-09-23;https://www.freenet.de/handys-smartphones/xiaomi/xiaomi-redmi-note-15-pro-5g-ohne-vertrag/p/P-M-4408885?ds=P-4511545
Apple;iPhone 15 Pro;128;1225,00;o2;1;;;;;2026-09-23;https://www.o2online.de/e-shop/apple/apple-iphone-15-pro-128gb-titan-natur-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Google;Pixel 10 Pro;256;1199,00;mobilcom-debitel;1;;;;;2026-09-23;https://www.freenet.de/handys-smartphones/google/google-pixel-10-pro-ohne-vertrag/p/P-M-4206120?ds=P-4292961
Samsung;Galaxy Z Flip8;256;1297,00;congstar;5;;;;;2026-09-22;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-flip8/
Xiaomi;Redmi 17;128;249,90;Vodafone;3;;;;;2026-09-23;https://www.vodafone.de/privat/handys/xiaomi-redmi-17-5g.html
Apple;iPhone 15 Pro Max;256;1477,00;o2;1;;;;;2026-09-23;https://www.o2online.de/e-shop/apple/apple-iphone-15-pro-max-256gb-titan-schwarz-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung
Google;Pixel 10 Pro Fold;256;;;1;;;59,49;o2;2026-09-16;https://www.o2online.de/e-shop/google/google-pixel-10-pro-fold-256gb-moonstone-details?ohne-tarif=nein&zielgruppe=privatkunden&ratenzahlung=36&vertragsart=ratenzahlung&tarif=o2-mobile-on-demand-m-plus
Samsung;Galaxy Z Flip8;512;1499,00;congstar;2;;;;;2026-09-22;https://www.congstar.de/geraete/samsung/samsung-galaxy-z-flip8/
